country_code,gdp_data_level,gdp_domain,year,gdp
TJK,national,national,2014,925.970961482804
TJK,national,national,2015,956.916310930656
TJK,national,national,2016,997.352614556708
TJK,national,national,2017,1042.26391757642
TJK,national,national,2018,1094.8002018221
TJK,national,national,2019,1148.34676712493
TJK,national,national,2020,1171.90127480359
TJK,national,national,2021,1254.06999592306
TJK,national,national,2022,1325.75545290849
TJK,national,national,2023,1407.1075436221
TJK,national,national,2024,1477.00742789359
TJK,national,national,2025,1544.99499849815
TJK,national,national,2026,1592.06076978049
TJK,national,national,2027,1638.70975831644
TJK,national,national,2028,1686.25781177339
TJK,national,national,2029,1735.74660347937
TJK,national,national,2030,1787.14147546179
TKM,national,national,1973,3285.90897438329
TKM,national,national,1980,2888.67833013834
TKM,national,national,1981,2847.24674681386
TKM,national,national,1982,2808.37794183935
TKM,national,national,1983,2791.29275283957
TKM,national,national,1984,2696.89708361577
TKM,national,national,1985,2642.22447881646
TKM,national,national,1986,2649.91281386637
TKM,national,national,1987,2645.64151661642
TKM,national,national,1988,2849.29129851136
TKM,national,national,1989,2651.25204178569
TKM,national,national,1990,3495.74838854006
TKM,national,national,1991,3252.31233981197
TKM,national,national,1992,2703.31865628693
TKM,national,national,1993,2684.18035580245
TKM,national,national,1994,2174.38821394629
TKM,national,national,1995,1981.94402262254
TKM,national,national,1996,2078.71862628194
TKM,national,national,1997,1810.78048140778
TKM,national,national,1998,1906.90538588317
TKM,national,national,1999,2181.15938103368
TKM,national,national,2000,2255.01496788934
TKM,national,national,2001,2306.30057631688
TKM,national,national,2002,2266.6336625636
TKM,national,national,2003,2295.29620574541
TKM,national,national,2004,2364.26725156856
TKM,national,national,2005,2622.61796328876
TKM,national,national,2006,2856.77457038028
TKM,national,national,2007,3114.06330033038
TKM,national,national,2008,3504.34843278483
TKM,national,national,2009,3645.43522420841
TKM,national,national,2010,3900.14237925855
TKM,national,national,2011,4379.74943394339
TKM,national,national,2012,4761.0792759807
TKM,national,national,2013,5131.16736462999
TKM,national,national,2014,5533.03528846527
TKM,national,national,2015,5759.497903834
TKM,national,national,2016,5977.83828113854
TKM,national,national,2017,6222.55590558882
TKM,national,national,2018,6460.94356849428
TKM,national,national,2019,6718.16608056274
TKM,national,national,2020,6965.11226889286
TKM,national,national,2021,7248.70763225719
TKM,national,national,2022,7551.03650143157
TKM,national,national,2023,7880.44528570939
TKM,national,national,2024,7964.36251126696
TKM,national,national,2025,8047.70790039561
TKM,national,national,2026,8143.70415517156
TKM,national,national,2027,8242.85738535283
TKM,national,national,2028,8341.6511221878
TKM,national,national,2029,8444.68768066483
TKM,national,national,2030,8551.45603729621
TLS,national,national,1990,633.182490483019
TLS,national,national,1991,684.870530173927
TLS,national,national,1992,736.5916481012
TLS,national,national,1993,789.90069743491
TLS,national,national,1994,823.062424783438
TLS,national,national,1995,854.130472722832
TLS,national,national,1996,897.360531368488
TLS,national,national,1997,907.916565963385
TLS,national,national,1998,865.831377976116
TLS,national,national,1999,631.072912537913
TLS,national,national,2000,1117.56429796112
TLS,national,national,2001,1192.78575791112
TLS,national,national,2002,1028.1319342253
TLS,national,national,2003,964.322564618129
TLS,national,national,2004,955.470548287377
TLS,national,national,2005,964.026614173558
TLS,national,national,2006,897.573763670928
TLS,national,national,2007,961.848462090268
TLS,national,national,2008,1042.86835443002
TLS,national,national,2009,1120.09698448398
TLS,national,national,2010,1195.38086241831
TLS,national,national,2011,1237.48383284275
TLS,national,national,2012,1269.41629276068
TLS,national,national,2013,1281.92864092574
TLS,national,national,2014,1312.96494079465
TLS,national,national,2015,1319.59297370991
TLS,national,national,2016,1333.6585468432
TLS,national,national,2017,1267.08660142883
TLS,national,national,2018,1237.20064730412
TLS,national,national,2019,1507.24748294374
TLS,national,national,2020,1947.83997138866
TLS,national,national,2021,2015.69270191369
TLS,national,national,2022,1578.38322939547
TLS,national,national,2023,1278.41861343542
TLS,national,national,2024,1298.22152037102
TLS,national,national,2025,1326.96878986863
